Arc,Start onChapter,TotalChapters,TotalPages,Manga%,Start onEpisode,TotalEpisodes,TotalMinutes(avg 24),Anime%,BigThree
Fated Battle Between Brothers Arc,384.0,29,551,4.1%,134,10,240,1.4%,Naruto
Six-Tails Unleashed Arc,0.0,0,0,0.0%,144,8,192,1.1%,Naruto
Pain's Assault Arc,413.0,41,779,5.8%,152,22,528,3.1%,Naruto
Past Arc: The Locus of Konoha Arc,0.0,0,0,0.0%,176,21,504,2.9%,Naruto
Five Kage Summit Arc,454.0,30,570,4.2%,197,18,432,2.5%,Naruto
Fourth Shinobi World War: Countdown Arc,484.0,32,608,4.5%,215,22,528,3.1%,Naruto
Paradise Life on a Boat Arc,0.0,0,0,0.0%,223,20,480,2.8%,Naruto
Fourth Shinobi World War: Confrontation Arc,516.0,44,836,6.2%,261,53,1272,7.4%,Naruto
Power Arc,0.0,0,0,0.0%,290,6,144,0.8%,Naruto
Fourth Shinobi World War: Climax Arc,560.0,80,1520,11.3%,322,41,984,5.7%,Naruto
Kakashi's Anbu Arc: The Shinobi That Lives in the Darkness Arc,0.0,0,0,0.0%,349,13,312,1.8%,Naruto
Birth of the Ten-Tails' Jinchūriki Arc,640.0,38,722,5.4%,378,30,720,4.2%,Naruto
In Naruto's Footsteps: The Friends' Paths Arc,0.0,0,0,0.0%,394,20,480,2.8%,Naruto
Jiraiya Shinobi Handbook: The Tale of Naruto the Hero Arc,0.0,0,0,0.0%,432,19,456,2.6%,Naruto
Kaguya Ōtsutsuki Strikes Arc,678.0,22,418,3.1%,451,23,552,3.2%,Naruto
Itachi Shinden Book: Light and Darkness Arc,0.0,0,0,0.0%,452,5,120,0.7%,Naruto
Childhood Arc,0.0,0,0,0.0%,480,4,96,0.6%,Naruto
Sasuke Shinden: Book of Sunrise Arc,0.0,0,0,0.0%,484,5,120,0.7%,Naruto
Shikamaru Hiden: A Cloud Drifting in Silent Darkness Arc,0.0,0,0,0.0%,489,5,120,0.7%,Naruto
Konoha Hiden: The Perfect Day for a Wedding Arc,0.0,0,0,0.0%,494,7,168,1.0%,Naruto
The Seventh Hokage and the Scarlet Spring Arc,700.1,10,190,1.4%,0,0,0,0.0%,Naruto
Agent of the Shinigami Arc,1.0,70,1330,9.9%,1,20,480,5.5%,Bleach
Soul Society: The Sneak Entry Arc,71.0,49,931,6.9%,21,21,504,5.7%,Bleach
Soul Society: The Rescue Arc,118.0,68,1292,9.6%,42,22,528,6.0%,Bleach
The Bount Arc,0.0,0,0,0.0%,64,28,672,7.7%,Bleach
Bount Assault on Soul Society Arc,0.0,0,0,0.0%,92,18,432,4.9%,Bleach
Arrancar: The Arrival Arc,184.0,49,931,6.9%,110,22,528,6.0%,Bleach
Arrancar: The Hueco Mundo Sneak Entry Arc,230.0,22,418,3.1%,132,20,480,5.5%,Bleach
Arrancar: The Fierce Fight Arc,252.0,36,684,5.1%,152,16,384,4.4%,Bleach
The New Captain Shūsuke Amagai Arc,0.0,0,0,0.0%,168,22,528,6.0%,Bleach
Arrancar vs. Shinigami Arc,287.0,30,570,4.2%,190,16,384,4.4%,Bleach
The Past Arc,0.0,12,228,1.7%,206,7,168,1.9%,Bleach
Arrancar: Decisive Battle of Karakura Arc,316.0,25,475,3.5%,213,17,408,4.6%,Bleach
Zanpakutō Unknown Tales Arc,0.0,0,0,0.0%,230,36,864,9.8%,Bleach
Arrancar: Downfall Arc,341.0,83,1577,11.7%,266,51,1224,13.9%,Bleach
Gotei 13 Invading Army Arc,0.0,0,0,0.0%,317,26,624,7.1%,Bleach
The Lost Substitute Shinigami Arc,424.0,56,1064,7.9%,343,24,576,6.6%,Bleach
"The 1,000 Year Blood War Arc",480.0,208,3952,29.4%,0,0,0,0.0%,Bleach
